title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
Piso a estrenar junto a la Casa de les Punxes ,Eixample  Eixample Dreta ,Muybien,Muybien,1900,137m²,3,3,Bombadecalor,E,875.000EUR
Piso con vistas despejadas en Eixample ,Eixample  Sagrada Familia ,Excelente,Bien,1970,94m²,2,3,Gas,,365.000EUR
Luminoso piso a reformar en Pedralbes ,Pedralbes  Pedralbes ,Excelente,Necesitarenovaciones,1952,93m²,1,3,,,385.000EUR
Piso para reformar cerca del Passeig Sant Joan ,Eixample  Eixample Dreta ,Muybien,Necesitarenovaciones,1976,74m²,1,1,Central,D,330.000EUR
Piso alto para reformar en calle Bruc ,Eixample  Eixample Dreta ,Muybien,Necesitarenovaciones,1976,131m²,2,3,Central,D,650.000EUR
Acogedor piso alto y luminoso en Eixample ,Eixample  Fort Pienc ,Excelente,Regular,1929,37m²,1,2,,E,220.000EUR
Fantástico piso familiar ,Sants - Montjuïc  SantS ,Muybien,Bien,1980,122m²,2,4,Gas,E,540.000EUR
Espectacular piso de diseño en Gràcia ,Gracia  Vila de Gracia ,,Excelente,1975,89m²,2,3,Gas,E,450.000EUR
Bonita y cómoda planta baja-dúplex sin cédula ,Ciutat Vella  Born-Ribera ,Muybien,Muybien,1936,60m²,2,1,,,190.000EUR
Piso reformado con terraza junto calle Escorial ,Gracia  Gracia Nova ,Excelente,Excelente,1960,166m²,2,4,Gas,,770.000EUR
Fantástico dúplex en Tiana ,Maresme  Tiana ,Bien,Bien,2008,133m²,3,3,Central,G,470.000EUR
Dúplex familiar cerca del mar en Barceloneta ,Ciutat Vella  Barceloneta ,,,1988,117m²,2,3,,,430.000EUR
Excelente piso cerca de Francesc Macià ,Eixample  Eixample Esquerra ,Excelente,,1965,79m²,1,3,Gas,E,475.000EUR
Piso a estrenar junto a Plaça Francesc Macia ,Eixample  Eixample Esquerra ,Excelente,Excelente,1947,124m²,2,3,Gas,F,660.000EUR
Piso de diseño a metros de Passeig de Gràcia ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,115m²,2,3,Calefaccióncentralizada,F,799.000EUR
Acogedor y céntrico piso en Manresa ,Bagés- Manresa  MANRESA ,Muybien,,1997,67m²,1,2,Gas,E,120.000EUR
Piso reformado al lado de Passeig de Gràcia ,Eixample  Eixample Dreta ,Excelente,Excelente,1880,114m²,2,3,Bombadecalor,E,799.000EUR
Piso en Les Corts con parking ,Les Corts  Les corts ,Muybien,Muybien,1998,129m²,2,4,Bombadecalor,,690.000EUR
Piso familiar con terraza a reformar en Gràcia ,Gracia  Vila de Gracia ,Excelente,Regular,1991,170m²,3,5,Gas,,890.000EUR
Exclusivo piso amueblado en Mallorca ,Eixample  Eixample Esquerra ,Excelente,Excelente,1990,110m²,2,2,Gas,E,680.000EUR
Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,,108m²,2,3,Pellets,A,755.000EUR
Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,661.000EUR
Espectacular piso con terraza en Barri Gòtic ,Ciutat Vella  Gòtic ,Excelente,Muybien,1850,71m²,1,1,Bombadecalor,E,440.000EUR
Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,650.000EUR
Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,640.000EUR
Fantástico piso cerca de Plaza de España ,Sants - Montjuïc  Poble Sec ,Excelente,Muybien,1974,76m²,1,2,Bombadecalor,E,330.000EUR
Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,619.000EUR
Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,598.000EUR
Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,577.000EUR
Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,556.000EUR
Precioso piso reformado en Poble Sec ,Sants - Montjuïc  Poble Sec ,Excelente,Excelente,1879,55m²,1,2,,E,255.000EUR
Precioso piso con elementos originales en Eixample ,Eixample  Eixample Dreta ,Excelente,Muybien,1900,144m²,2,3,Gas,E,795.000EUR
Ático dúplex con terrazas en Rambla Catalunya ,Eixample  Eixample Dreta ,Excelente,Excelente,1895,222m²,3,3,Gas,F,1.850.000EUR
Bonito bajo exterior en el centro de Badalona ,Badalona  Centre ,Excelente,Bien,1965,95m²,1,4,Central,E,269.000EUR
Ático luminoso con gran terraza en venta ,Sant Adrià de Besòs ,Muybien,Excelente,2005,104m²,2,3,Bombadecalor,G,455.000EUR
Ático dúplex en eixample cerca centro de Mataró ,Maresme  Mataró ,Bien,Bien,2004,93m²,2,3,CorrienteEléctricaBombadecalor,F,249.000EUR
Piso con licencia turistica en calle Mercader ,Hospitalet  Collblanc ,Bien,Bien,1950,65m²,1,3,,E,340.000EUR
Piso familiar gran terraza L´Hospitalet - Igualtat ,Hospitalet  Santa Eulalia ,Muybien,Muybien,1992,112m²,2,4,Gas,E,515.000EUR
Luminoso piso familiar en la Sagrera ,Sagrera ,Excelente,Excelente,1980,94m²,2,4,Gas,F,399.000EUR
Ático con vistas a la montaña en El Coll ,Gracia  El Coll ,Excelente,Muybien,1965,110m²,2,3,Gas,F,380.000EUR
Piso alto en Sagrada Família ,Eixample  Sagrada Familia ,Excelente,Regular,1970,82m²,1,3,,E,350.000EUR
Piso único con terraza a reformar en Eixample ,Eixample  Eixample Dreta ,Excelente,Necesitarestauración,1936,545m²,2,5,Gas,,3.200.000EUR
Piso alto standing en Les Corts - Entença ,Les Corts  Les corts ,Excelente,Excelente,1990,156m²,2,4,Gas,E,990.000EUR
Espectacular piso con elementos originales en Eixample ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,185m²,3,4,Gas,D,1.190.000EUR
Espectacular ático en edificio de 1769 ,Ciutat Vella  Gòtic ,Excelente,Excelente,1769,179m²,3,3,,C,2.500.000EUR
Excelente piso en el centro de Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,,Excelente,,70m²,1,2,Central,,272.000EUR
Magnífica propiedad con bonitas vistas ,SANT MARTIN  El Parc i La Llacuna del Poblenou ,Excelente,Excelente,1975,100m²,2,4,Gas,E,440.000EUR
Impecable Piso con todas las comodidades. ,Sant Feliu De LLobregat ,,,,102m²,2,3,Gas,,467.000EUR
Oportunidad en Casagemes ,Badalona  Badalona ,Muybien,Necesitarenovaciones,1975,96m²,2,3,,D,275.000EUR
Fantástico piso a actualizar en Gràcia ,Gracia  Vila de Gracia ,,,,97m²,1,3,,E,395.000EUR
Luminoso piso de 2 dormitorios con balcón ,Maresme  Montgat ,Excelente,Excelente,2022,83m²,2,2,Sueloradiante,A,440.000EUR
Luminoso piso de 2 dormitorios con balcón ,Maresme  Montgat ,Excelente,Excelente,2022,83m²,2,2,Sueloradiante,A,440.000EUR
Piso de obra nueva con terraza cerca del mar ,Maresme  Montgat ,Excelente,Excelente,2022,83m²,2,2,Sueloradiante,A,360.000EUR
Piso de obra nueva con terraza cerca del mar ,Maresme  Montgat ,Excelente,Excelente,2022,83m²,2,2,Sueloradiante,A,355.000EUR
Espectacular ático reformado a estrenar cerca L’Illa ,Les Corts  Les corts ,Excelente,Excelente,1944,60m²,1,2,,F,340.000EUR
Loft próximo a Avinguda Diagonal ,Gracia  Vila de Gracia ,Excelente,Muybien,1895,30m²,1,1,,E,215.000EUR
Exclusivo y lujoso piso único en el Born ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,,200m²,2,4,Gas,E,1.180.000EUR
Impresionante piso en Calle Floridablanca ,Eixample  Sant Antoni ,Excelente,,1930,117m²,2,3,Central,E,670.000EUR
Precioso piso en la Dreta de l'Eixample ,Eixample  Eixample Dreta ,,,,87m²,1,3,,E,395.000EUR
Amplio piso con balcón en el centro ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Necesitarestauración,1968,93m²,1,3,Gas,E,298.500EUR
Piso para invertir en les Corts ,Les Corts  Maternitat ,,,1970,66m²,2,3,Gas,,269.000EUR
Piso a reformar con mucha luz natural ,Sant Just - Esplugues  Esplugues - Otras ,Muybien,Necesitarenovaciones,1973,106m²,1,4,Gas,E,279.000EUR
Precioso piso esquinero en Galvany ,Sant Gervasi  Galvany ,Excelente,Muybien,1948,186m²,3,4,Gas,E,1.030.000EUR
