title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
Impecable piso frente a Port Balís ,Maresme  Sant Andreu de Llavaneres ,Excelente,Excelente,1979,154m²,2,4,Gas,E,695.000EUR
Piso alto en Jardinets de Gràcia ,Gracia  Vila de Gracia ,,Bien,1920,200m²,3,5,Gas,,1.300.000EUR
Agradable ático dúplex en Roses-Castellbell ,Sant Feliu De LLobregat ,Muybien,Muybien,2006,133m²,3,3,BombadecalorGas,D,540.000EUR
Piso amplio en Eixample Dret ,Eixample  Eixample Dreta ,Excelente,Excelente,1960,143m²,2,4,Gas,E,850.000EUR
Auténtico y luminoso piso reformado en Eixample ,Eixample  Fort Pienc ,Excelente,Excelente,,67m²,1,1,Gas,E,265.000EUR
Fantástico piso muy luminoso en plaza de Sants ,Sants - Montjuïc  SantS ,,,,138m²,2,5,,,530.000EUR
Ático con terraza en el corazón de Sant Andreu ,Sant Andreu ,Muybien,Muybien,1974,95m²,2,2,Gas,,501.000EUR
Fantástico piso alto con balcón en Eixample ,Eixample  Fort Pienc ,Excelente,,1970,100m²,2,4,,,375.000EUR
Increible piso Reformado en Poble Sec ,Sants - Montjuïc  Poble Sec ,Muybien,Excelente,1929,65m²,1,2,CorrienteEléctrica,,299.000EUR
Magnífica propiedad frente a Sagrada Familia ,Eixample  Sagrada Familia ,Excelente,Excelente,1929,170m²,2,1,Bombadecalor,D,475.000EUR
EXCELENTE PISO EN ARENYS DE MUNT ,Maresme  Arenys de Munt ,Excelente,Excelente,1980,85m²,1,3,Gas,E,198.000EUR
Piso con licencia turística en el Baix Guinardó ,Horta Guinardó  Baix Guinardó ,Muybien,Muybien,1971,78m²,1,2,Gas,F,415.000EUR
Cómodo piso en Aribau ,Sant Gervasi  Galvany ,Excelente,Muybien,1963,117m²,2,5,Gas,,550.000EUR
Agradable y tranquilo piso en calle Copérnico ,Sant Gervasi  Tres Torres ,Muybien,Muybien,1957,160m²,3,4,Gas,F,750.000EUR
Excepcional piso de diseño en Turó Parc ,Sant Gervasi  Galvany ,Excelente,Excelente,,90m²,2,2,CorrienteEléctricaGas,E,455.000EUR
Piso exterior con balcón en el centro ,Sant Just - Esplugues  Sant Joan Despí ,Muybien,Muybien,1972,111m²,1,4,CorrienteEléctrica,E,362.000EUR
Piso con Licencia Turística cerca de la playa ,SANT MARTIN  El Poblenou ,,Muybien,1930,58m²,1,2,,E,390.000EUR
Piso con Licencia Turistica cerca de la playa ,SANT MARTIN  El Poblenou ,,Muybien,1930,59m²,1,2,,G,390.000EUR
Acogedor loft junto al mercado Sant Antoni ,Ciutat Vella  raval ,Excelente,Excelente,1860,73m²,2,2,Bombadecalor,D,249.000EUR
Luminoso piso de obra nueva con balcón ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,110m²,2,3,BombadecalorPellets,A,551.000EUR
Luminoso piso de obra nueva con balcón ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,110.000m²,2,3,BombadecalorPellets,A,557.000EUR
Luminoso piso de obra nueva con balcón ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,110m²,2,3,BombadecalorPellets,A,545.000EUR
Precioso piso alto a estrenar en Diputació ,Eixample  Fort Pienc ,Excelente,Excelente,1976,84m²,2,3,Gas,E,429.000EUR
Piso alto y luminoso en Plaza de las Navas ,Sants - Montjuïc  Poble Sec ,Excelente,Bien,1965,66m²,1,3,Gas,G,310.000EUR
Piso con Licencia Turistica cerca de la playa ,SANT MARTIN  El Poblenou ,,Muybien,1930,63m²,1,2,,E,410.000EUR
Piso con Licencia Turística cerca de la playa ,SANT MARTIN  El Poblenou ,,Muybien,1930,61m²,1,3,,G,410.000EUR
Espectacular piso modernista en finca regia ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,140m²,2,3,Bombadecalor,,850.000EUR
Impresionante piso con Terraza en Sant Antoni ,Eixample  Sant Antoni ,,,,270m²,4,7,Gas,E,1.200.000EUR
Piso a estrenar alto con terraza en Muntaner ,Eixample  Eixample Esquerra ,Excelente,Excelente,1965,103m²,2,3,Gas,E,589.000EUR
Piso luminoso exterior en Sant Andreu ,Sant Andreu ,Muybien,Bien,1975,81m²,1,4,,E,245.000EUR
Precioso piso a estrenar en Vila de Gràcia ,Gracia  Vila de Gracia ,Excelente,Excelente,1951,69m²,1,2,Gas,E,359.000EUR
Luminoso piso con balcón en Sant Martí ,SANT MARTIN  La Verneda i la Pau ,,,1966,83m²,1,3,Gas,E,340.000EUR
Estudio luminoso recién reformado ,Ciutat Vella  Barceloneta ,,,,38m²,1,1,,E,210.000EUR
Espectacular piso luminoso esquinero en Gotic ,Ciutat Vella  Gòtic ,Excelente,Muybien,1900,135m²,2,2,Central,E,759.000EUR
Exclusivo Ático en el centro de Mataró ,Maresme  Mataró ,Excelente,Excelente,2003,222m²,3,4,Gas,E,700.000EUR
Piso reformado en finca regia de Galvany ,Sant Gervasi  Galvany ,Excelente,Excelente,1928,235m²,3,5,Central,E,1.095.000EUR
Piso reformado en la mejor zona de Can Clota ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Excelente,1970,84m²,1,2,Bombadecalor,E,339.000EUR
Piso a reformar con potencial en Raval ,Ciutat Vella  raval ,Excelente,Muybien,1900,54m²,1,2,,E,165.000EUR
Amplio piso en el corazón de l'Eixample Esquerra ,Eixample  Eixample Esquerra ,,,,154m²,3,4,,E,685.000EUR
Ático irrepetible Les Corts - L´Illa ,Les Corts  Les corts ,Excelente,Necesitarestauración,1969,161m²,3,4,CorrienteEléctrica,G,875.000EUR
Brand new renovated flat with views in Tres Torres ,Sant Gervasi  Tres Torres ,,,,,,,,,
fantastico piso muy luminoso en Riera Blanca ,Hospitalet  Santa Eulalia ,Muybien,Regular,1973,69m²,1,3,Bombadecalor,E,186.000EUR
Piso de obra nueva junto a Glòries ,Eixample  Sagrada Familia ,,,1924,61m²,1,2,,G,405.000EUR
Dúplex singular centro histórico ,Maresme  Vilassar de Mar ,Excelente,Necesitarestauración,1949,110m²,1,4,Gas,,298.000EUR
Loft a reformar cerca del centro de Trinitat Vella ,Sant Andreu ,,,1970,137m²,,,,G,201.400EUR
Local con posibilidad de cambio de uso en Trinitat Vella ,Sant Andreu ,Bien,Otros,1970,111m²,1,3,,F,232.140EUR
Fabuloso apartamento en primera línea ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2006,104m²,2,3,Bombadecalor,F,1.490.000EUR
Fantástico piso en primera línea de mar ,Badalona  Front Marítim ,Excelente,Muybien,2006,129m²,2,3,Central,D,529.000EUR
Bonito y accesible piso en planta baja ,Bagés- Manresa  MANRESA ,Bien,Muybien,1958,83m²,1,4,Gas,E,110.000EUR
Funcional piso en Sarriá ,Sarria  Sta. Amelia ,Excelente,Excelente,1980,119m²,2,4,Gas,,695.000EUR
Bonita propiedad con terraza y ascensor ,Ciutat Vella  Born-Ribera ,Excelente,Necesitarenovaciones,1780,171m²,1,3,Gas,E,795.000EUR
Piso a reformar en el centro ,Sant Just - Esplugues  Sant Just Desvern ,Excelente,Necesitarestauración,1977,97m²,2,4,Gas,E,335.000EUR
Piso con vistas y parking en zona Doctor Fleming ,Sant Gervasi  Turo Parc ,Excelente,Muybien,1987,100m²,2,3,Gas,D,750.000EUR
Loft de diseño con terraza en el Raval ,Ciutat Vella  raval ,,Excelente,,72m²,2,2,Pellets,C,475.000EUR
Precioso piso con balcón en Eixample ,Eixample  Nova Esquerra de l'Eixample ,Muybien,,1983,105m²,2,3,,,600.000EUR
Fantástico ático con terraza privada ,Sants - Montjuïc  SantS ,Excelente,Muybien,1980,97m²,1,3,Gas,E,480.000EUR
Magnífico ático dúplex en centro de Caldetes ,Maresme  Caldes d´Estrac ,Muybien,Muybien,2006,130m²,3,3,BombadecalorGas,,369.000EUR
Magnífico piso alto  amplio y luminoso en Diagonal ,Sant Gervasi  Turo Parc ,Excelente,Excelente,1969,225m²,4,4,Gas,,1.900.000EUR
Obra nueva 100m² con terraza en el centro ,Sant Feliu De LLobregat ,Excelente,,2022,101m²,2,3,,,385.000EUR
Luminoso y espacioso piso al lado de Enric Granados ,Eixample  Eixample Esquerra ,Excelente,Muybien,1910,125m²,2,4,Gas,E,750.000EUR
Exclusivo dúplex con jardín privado en Sarrià ,Sarria  Casco Antiguo ,,,2023,307m²,3,4,Sueloradiante,A,2.545.000EUR
Luminoso piso de obra nueva con balcón ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,97m²,2,3,BombadecalorPellets,A,511.000EUR
Luminoso ático de obra nueva con balcón ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,97m²,2,3,BombadecalorPellets,A,529.000EUR
Piso nuevo con balcón en Horta-Guinardó ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,74m²,1,2,BombadecalorPellets,A,412.000EUR
Piso nuevo con balcón en Horta-Guinardó ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,74m²,1,2,BombadecalorPellets,A,394.000EUR
Piso elegante con piscina y parking en Pedralbes ,Pedralbes  Pedralbes ,Excelente,Necesitarestauración,1980,190m²,3,4,Gas,,1.350.000EUR
Amplio y luminoso dúplex de obra nueva ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,117m²,2,1,BombadecalorPellets,A,433.000EUR
Magnífico piso en el Born ,Ciutat Vella  Born-Ribera ,Muybien,Excelente,1900,50m²,1,2,Bombadecalor,D,370.000EUR
Un piso que enamora en el corazón del Born ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,1900,50m²,1,1,Bombadecalor,G,300.000EUR
Dúplex de obra nueva en Horta-Guinardó ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,178m²,3,3,BombadecalorPellets,A,663.000EUR
Dúplex de obra nueva en Horta-Guinardó ,Horta Guinardó  Font d'en Fargas ,Excelente,Excelente,2023,178m²,3,4,BombadecalorPellets,A,605.000EUR
Piso en venta en la Barceloneta ,Ciutat Vella  Barceloneta ,Muybien,Renovado,1900,37m²,1,1,,E,179.000EUR
Exclusivo dúplex con jardín privado en Sarrià ,Sarria  Casco Antiguo ,,,2023,260m²,3,3,Sueloradiante,A,2.390.000EUR
Ático esquinero con vistas despejadas ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Regular,1973,99m²,1,4,Gas,E,298.500EUR
Ático en Sant Andreu ,Sant Andreu ,Excelente,Excelente,,62m²,1,2,Calefaccióncentralizada,F,310.000EUR
Exclusivo ático dúplex con vistas despejadas ,Sant Just - Esplugues  Sant Joan Despí ,Excelente,Excelente,1999,173m²,3,3,Gas,E,610.000EUR
Luminoso Ático con piscina en Barceloneta ,Ciutat Vella  Barceloneta ,Muybien,Bien,2005,121m²,2,3,Central,E,950.000EUR
Piso con preciosas vistas en Passeig de Gràcia ,Eixample  Eixample Dreta ,Excelente,,1998,97m²,2,2,,E,1.130.000EUR
Piso tranquilo en Rambla Catalunya ,Eixample  Eixample Dreta ,Excelente,Bien,1900,130m²,2,3,Gas,D,649.000EUR
Ático exclusivo junto al Mercado Santa Caterina ,Ciutat Vella  Born-Ribera ,Muybien,Muybien,,52m²,1,1,Bombadecalor,D,350.000EUR
Increible piso tipo loft proximo Ronda Sant Pau ,Ciutat Vella  raval ,Excelente,Excelente,1845,30m²,1,1,CorrienteEléctricaBombadecalor,,145.000EUR
ÁTICO DUPLEX EN EL CENTRO DE VILASSAR DE MAR ,Maresme  Vilassar de Mar ,Excelente,Muybien,2005,141m²,2,4,Gas,,510.000EUR
Excelente piso reformado y luminoso en Gotic ,Ciutat Vella  Gòtic ,,,1900,105m²,1,3,,,490.000EUR
Acogedor apartamento con vistas a la Sagrada Família ,Eixample  Sagrada Familia ,Excelente,Excelente,,88m²,1,3,Gas,E,350.000EUR
Bonito piso en zona inmejorable VdM ,Maresme  Vilassar de Mar ,Excelente,Muybien,1973,146m²,2,4,Gas,,490.000EUR
Piso con bonitas vistas en la Catalana ,Sant Adrià de Besòs ,Muybien,Muybien,2018,73m²,2,2,Bombadecalor,,293.000EUR
Ático dúplex en Carrer Unió con dos terrazas ,Maresme  Mataró ,Muybien,,2023,117m²,3,3,Circuito,,525.000EUR
Amplio y luminoso piso en Sant Gervasi ,Sant Gervasi  Bonanova ,Excelente,Bien,1964,206m²,2,4,Gas,D,845.000EUR
Ático con terraza y vistas en Sagrada Familia ,Eixample  Sagrada Familia ,Excelente,Muybien,1922,175m²,3,4,Gas,,1.130.000EUR
Espectacular piso con terraza en Bonanova ,Sant Gervasi  Bonanova ,Excelente,Excelente,2011,192m²,3,3,Bombadecalor,C,1.350.000EUR
Precioso piso en Hostafrancs ,Sants - Montjuïc  Hostafrancs ,Muybien,Excelente,1910,76m²,2,2,Bombadecalor,G,369.500EUR
Fantástica vivienda a unos pasos del mar ,Ciutat Vella  Barceloneta ,,,,35m²,1,1,,G,235.000EUR
Ático dúplex centro de Mataró junto plaza Cuba ,Maresme  Mataró ,Muybien,Bien,1998,151m²,2,4,Gas,,419.000EUR
Piso ideal inversor ,Hospitalet ,,,,58m²,1,3,,F,125.000EUR
Precioso dúplex a estrenar en la Barceloneta ,Ciutat Vella  Barceloneta ,Excelente,Excelente,1988,104m²,3,3,Gas,E,399.000EUR
Ático reformado zona Escorxador ,Maresme  Mataró ,Muybien,Renovado,1966,61m²,1,2,Bombadecalor,G,125.000EUR
Exclusividad y lujo con gran terraza en Eixample ,Eixample  Eixample Dreta ,Excelente,Excelente,1948,590m²,4,5,Gas,F,5.500.000EUR
Magnífico piso a reformar en Eixample Esquerra ,Eixample  Eixample Esquerra ,Excelente,Necesitarestauración,1909,133m²,2,4,,,620.000EUR
Piso reformado con terraza en Eixample ,Eixample  Eixample Dreta ,Excelente,Excelente,1980,146m²,2,3,Gas,D,1.035.000EUR
Fantástico piso en el corazón del Eixample Esquerra ,Eixample  Eixample Esquerra ,,,1900,147m²,2,3,,D,660.000EUR
Maravilloso piso alto en Eixample Esquerra ,Eixample  Eixample Esquerra ,Excelente,Necesitarestauración,1900,75m²,1,3,,E,410.000EUR
Bonito y práctico piso en Eixample ,Eixample  Nova Esquerra de l'Eixample ,Excelente,Muybien,1926,75m²,1,3,,G,360.000EUR
Vivienda-despacho profesional en calle Guimerà ,Bagés- Manresa  MANRESA ,Excelente,Excelente,2001,165m²,2,4,Bombadecalor,C,245.000EUR
Luminoso y diáfano bajo en Eixample ,Eixample  Sagrada Familia ,Muybien,Excelente,1957,75m²,1,1,Bombadecalor,E,330.000EUR
Magnífico piso nuevo alto con piscina y pádel ,Sants - Montjuïc  La Bordeta ,Muybien,Excelente,2018,106m²,2,3,Pellets,B,598.000EUR
Piso alto y luminoso la dreta de l'Eixample ,Eixample  Eixample Dreta ,Excelente,Bien,1940,122m²,2,3,Gas,D,660.000EUR
Encantador piso con piscina en Diagonal Mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2008,96m²,2,3,,D,620.000EUR
Espectacular ático en finca regia de Eixample ,Eixample  Eixample Esquerra ,,Excelente,1900,167m²,2,2,Bombadecalor,,2.100.000EUR
Piso con piscina y vistas al Tennis Barcino ,Sant Gervasi  Putget ,Muybien,Bien,1963,260m²,3,3,CorrienteEléctricaBombadecalor,E,899.000EUR
Fantástico piso con gran terraza en Sarrià ,Sarria  Sarria ,Excelente,Excelente,2020,142m²,2,3,Circuito,A,1.585.000EUR
Fantástico piso con terrazas en Sarrià ,Sarria  Sarria ,Excelente,Excelente,2020,142m²,2,3,Circuito,A,1.390.000EUR
Luminoso ático con terrazas en Sarrià ,Sarria  Sarria ,Excelente,Excelente,2020,136m²,2,3,Circuito,A,1.585.000EUR
Piso luminoso en el corazón de Sant Antoni ,Eixample  Sant Antoni ,Excelente,Necesitarenovaciones,1900,63m²,1,3,Gas,,295.000EUR
Fantástico piso con terrazas en Sarrià ,Sarria  Sarria ,Excelente,Excelente,2020,142m²,2,3,Circuito,A,1.280.000EUR
Luminoso piso con terrazas en Sarrià ,Sarria  Sarria ,Excelente,Excelente,2020,135m²,2,3,Circuito,A,1.199.000EUR
Luminosa segunda planta en Sarrià ,Sarria  Sarria ,Excelente,Excelente,2020,136m²,2,3,Circuito,A,1.310.000EUR
Piso con Licencia Turística en Passeig de Gràcia ,Eixample  Eixample Dreta ,Excelente,Muybien,2007,78m²,1,1,,,895.000EUR
Vivienda de 2 dormitorios en Camp de l'Arpa ,SANT MARTIN  El Camp de l'Arpa del Clot ,Excelente,,1905,74m²,1,2,,E,350.000EUR
Elegante y tranquila vivienda en Tres Torres ,Sant Gervasi  Tres Torres ,Excelente,Necesitarestauración,1977,300m²,5,6,Bombadecalor,E,1.375.000EUR
Piso luminoso en Sant Antoni ,Eixample  Sant Antoni ,Excelente,Bien,1978,95m²,2,4,Gas,,425.000EUR
Espectacular piso de diseño con terraza ,Eixample  Eixample Esquerra ,Excelente,Excelente,1902,147m²,2,2,Bombadecalor,E,1.250.000EUR
Fantástico piso con gran zona comunitaria ,Maresme  Vilassar de Mar ,Excelente,Muybien,1977,160m²,2,4,Gas,E,482.000EUR
Loft de diseño con terraza en el Raval ,Ciutat Vella  raval ,,Excelente,,64m²,2,2,Pellets,,399.000EUR
Maravilloso piso con ascensor en Raval ,Ciutat Vella  raval ,,,1885,145m²,2,8,,E,645.000EUR
Piso alto a estrenar con vistas ,Eixample  Sant Antoni ,Excelente,Excelente,1965,83m²,2,3,Gas,D,395.000EUR
Piso en planta alta con ascensor en Raval ,Ciutat Vella  raval ,Excelente,Muybien,1885,163m²,2,4,Gas,E,680.000EUR
Piso reformado en la emblemática calle Tuset ,Sant Gervasi  Galvany ,Muybien,Excelente,1964,173m²,2,3,Bombadecalor,,695.000EUR
Piso reformado con terraza en la calle Tuset ,Sant Gervasi  Galvany ,,Excelente,1964,139m²,2,3,Bombadecalor,,695.000EUR
Ático con vistas espectaculares en Galvany ,Sant Gervasi  Galvany ,Excelente,Muybien,1958,202m²,4,5,Gas,E,1.120.000EUR
Magnífico piso en Ciutat Vella ,Ciutat Vella  raval ,Excelente,Excelente,,60m²,1,2,,E,290.000EUR
Piso luminoso en Poble Sec ,Sants - Montjuïc  Poble Sec ,Muybien,Muybien,1900,57m²,1,1,,,290.000EUR
Espléndido piso a estrenar en Eixample Sant Antoni ,Eixample  Sant Antoni ,Excelente,Excelente,1970,122m²,2,3,Gas,D,399.000EUR
Vivienda extraordinaria en el Gótico ,Ciutat Vella  Gòtic ,Excelente,,1900,192m²,4,3,,C,1.200.000EUR
Excelente ático dúplex con vistas a Sagrada Familia ,Eixample  Sagrada Familia ,,Muybien,,129m²,2,5,Gas,,600.000EUR
Exclusivo atico obra nueva en Sarrià-Sant Gervasi ,Sant Gervasi  Galvany ,Excelente,Excelente,2020,127m²,2,3,nocentralizada,A+,1.490.000EUR
Planta baja con terraza de 158m² en el centro ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Necesitarestauración,2006,150m²,2,4,,E,505.000EUR
Propiedad en finca renovada con ascensor en Born ,Ciutat Vella  Born-Ribera ,Bien,Excelente,1851,121m²,2,3,Bombadecalor,C,649.000EUR
Apartamento de diseño reformado en Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1900,115m²,2,2,Bombadecalor,C,649.000EUR
Piso con vistas a mar en venta en el Forum ,Sant Adrià de Besòs ,Excelente,Bien,2007,109m²,2,3,Bombadecalor,E,595.000EUR
Piso amueblado con 4 dormitorios en Eixample Dret ,Eixample  Sagrada Familia ,Excelente,Bien,1938,128m²,2,4,nocentralizada,E,570.000EUR
Reforma de lujo al lado de Passeig de Gràcia ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,195m²,3,3,Bombadecalor,E,1.450.000EUR
Precioso piso reformado en Pi i Margall ,Gracia  Vila de Gracia ,Excelente,Excelente,1963,63m²,2,2,Bombadecalor,E,359.000EUR
Fantástica vivienda y oficina con parking y piscina ,Sant Gervasi  Bonanova ,Excelente,Excelente,2000,229m²,3,3,Gas,E,1.580.000EUR
Encantador piso al lado de Sagrada Familia ,Eixample  Sagrada Familia ,Muybien,Muybien,1950,112m²,2,4,Gas,,595.000EUR
Gran piso a estrenar con terraza en Pedralbes ,Pedralbes  Pedralbes ,Excelente,Excelente,1973,184m²,5,4,,E,1.870.000EUR
Piso a estrenar con terraza en Pedralbes ,Pedralbes  Pedralbes ,Excelente,Excelente,1973,133m²,2,3,,E,1.400.000EUR
Luminoso piso con terraza en el Maresme ,Maresme  Montgat ,Excelente,Excelente,2022,98m²,2,3,Sueloradiante,A,500.000EUR
Luminoso piso con terraza en el Maresme ,Maresme  Montgat ,Excelente,Excelente,2022,98m²,2,3,Sueloradiante,A,510.000EUR
Estupendo piso de obra nueva con terraza ,Maresme  Montgat ,Excelente,Excelente,2022,115m²,2,3,Sueloradiante,A,450.000EUR
Estupendo piso de obra nueva con terraza ,Maresme  Montgat ,Excelente,Excelente,2022,115m²,2,3,Sueloradiante,A,450.000EUR
Estupendo piso con terraza privativa ,Maresme  Montgat ,Excelente,Excelente,2022,125m²,2,3,Sueloradiante,A,520.000EUR
Estupendo piso de obra nueva con terraza ,Maresme  Montgat ,Excelente,Excelente,2022,115m²,2,3,Sueloradiante,A,440.000EUR
Exclusivo piso de reciente construcción ,Sant Just - Esplugues  Sant Joan Despí ,Excelente,Excelente,2020,108m²,2,3,Sueloradiante,A,625.000EUR
Estupendo piso con terraza privativa ,Maresme  Montgat ,Excelente,Excelente,2022,125m²,2,3,Sueloradiante,A,500.000EUR
Estupendo piso de dos dormitorios con terraza ,Maresme  Montgat ,Excelente,Excelente,2022,98m²,2,2,Sueloradiante,A,420.000EUR
Estupendo piso de dos dormitorios con terraza ,Maresme  Montgat ,Excelente,Excelente,2022,98m²,2,2,Sueloradiante,A,415.000EUR
Estupendo piso de dos dormitorios con terraza ,Maresme  Montgat ,Excelente,Excelente,2022,98m²,2,2,Sueloradiante,A,410.000EUR
Estupendo piso con vistas al mar en Montgat ,Maresme  Montgat ,Excelente,Excelente,2022,110m²,2,3,Sueloradiante,A,530.000EUR
Espectacular principal en Portaferrissa ,Ciutat Vella  Gòtic ,,,,72m²,2,2,,,345.000EUR
Espectacular principal a actualizar en Gotic ,Ciutat Vella  Gòtic ,Excelente,Muybien,,141m²,2,2,Gas,,645.000EUR
Espectacular principal en Portaferrissa ,Ciutat Vella  Gòtic ,Muybien,,,286m²,3,4,Central,,1.295.000EUR
Espectacular principal en Portaferrissa ,Ciutat Vella  Gòtic ,Muybien,,,503m²,7,8,Calefaccióncentralizada,E,1.695.000EUR
Piso con terraza  piscina y parking en Pedralbes ,Pedralbes  Pedralbes ,Excelente,Necesitarestauración,1979,170m²,3,4,Central,,1.100.000EUR
Piso con bonitas vistas al fórum de Barcelona ,Sant Adrià de Besòs ,Excelente,Muybien,2007,109m²,2,3,Bombadecalor,E,495.000EUR
Espectacular piso luminoso en Eixample Esquerra ,Eixample  Eixample Esquerra ,Muybien,Excelente,1960,118m²,2,4,Bombadecalor,E,665.000EUR
Amplio apartamento con vistas al jardín en Eixample ,Eixample  Fort Pienc ,Excelente,Necesitarestauración,1942,99m²,2,4,,F,450.000EUR
Luminoso piso cerca de la Sagrada Família ,Eixample  Sagrada Familia ,Excelente,Bien,1967,82m²,1,4,,E,329.000EUR
Exclusivo dúplex con jardín privado en Sarrià ,Sarria  Casco Antiguo ,,,2023,242m²,3,4,Sueloradiante,A,1.895.000EUR
Precioso y funcional piso de obra nueva en Sarrià ,Sarria  Casco Antiguo ,,,2023,129m²,2,3,Sueloradiante,A,1.350.000EUR
Precioso y funcional piso de obra nueva en Sarrià ,Sarria  Casco Antiguo ,,,2023,129m²,2,3,Sueloradiante,A,1.295.000EUR
Espectacular piso de obra nueva en Sarrià ,Sarria  Casco Antiguo ,,,2023,134m²,2,3,Sueloradiante,A,1.395.000EUR
Precioso y funcional piso de obra nueva en Sarrià ,Sarria  Casco Antiguo ,,,2023,129m²,2,3,Sueloradiante,A,1.230.000EUR
Espectacular piso de obra nueva en Sarrià ,Sarria  Casco Antiguo ,,,2023,134m²,2,3,Sueloradiante,A,1.330.000EUR
Espectacular piso de obra nueva en Sarrià ,Sarria  Casco Antiguo ,,,2023,134m²,2,3,Sueloradiante,A,1.210.000EUR
Espectacular piso de obra nueva en Sarrià ,Sarria  Casco Antiguo ,,,2023,134m²,2,3,Sueloradiante,A,1.270.000EUR
Exclusivo dúplex con jardín privado en Sarrià ,Sarria  Casco Antiguo ,,,2023,170m²,3,3,Sueloradiante,A,1.595.000EUR
Ático dúplex espectacular con vistas en Sarriá ,Sarria  Sta. Amelia ,Excelente,Bien,1985,310m²,6,6,CorrienteEléctricaBombadecalor,,1.700.000EUR
Piso alto exterior con parking en la finca ,Les Corts  Maternitat ,,,1971,92m²,2,4,,,390.000EUR
Piso con Parking en Plaça Can Portabella ,Sant Andreu ,Excelente,Muybien,2008,88m²,2,3,CorrienteEléctrica,E,440.000EUR
Espectacular Dúplex invertido en Manresa ,Bagés- Manresa  MANRESA ,Muybien,Muybien,1999,165m²,3,4,Gas,,249.995EUR
Fantástico piso en finca regia en el Clot ,SANT MARTIN  El Clot ,Excelente,Muybien,1920,156m²,2,4,,E,660.000EUR
Pied-à-terre ideal en el barrio Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1800,66m²,1,2,,E,249.500EUR
Piso con terraza en Rambla del Poblenou para reformar ,SANT MARTIN  El Poblenou ,Excelente,Necesitarenovaciones,1965,77m²,1,3,,E,430.000EUR
Exclusivo piso ubicado en una de las zonas más encantadoras del Born ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,1930,135m²,3,2,Bombadecalor,E,835.000EUR
Excelente piso con parking y vista a Sagrada Familia ,Eixample  Sagrada Familia ,Excelente,Muybien,1920,128m²,2,4,Gas,,529.500EUR
Señorial propiedad en calle Freixa ,Sant Gervasi  Galvany ,Excelente,Necesitarestauración,,400m²,3,6,Calefaccióncentralizada,,1.900.000EUR
Piso con salón luminoso en pleno Sant Antoni ,Eixample  Sant Antoni ,Excelente,Necesitarenovaciones,1979,96m²,2,4,,E,440.000EUR
Luminoso atico a reformar con terraza y parking ,Pedralbes  Pedralbes ,Excelente,Necesitarestauración,1972,200m²,4,4,Gas,E,1.550.000EUR
Esplendido piso recién reformado en Eixample ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,163m²,3,3,Gas,E,1.349.000EUR
Ático con terrazas y vistas a mar en Grácia ,Gracia  Gracia Nova ,Excelente,Necesitarestauración,1972,100m²,2,3,Gas,E,585.000EUR
Exclusivo piso con gran terraza ,Hospitalet  La Florida ,Muybien,Bien,1980,113m²,2,4,,F,345.000EUR
Interesante piso en Rambla de Catalunya ,Eixample  Eixample Dreta ,Excelente,Muybien,1903,190m²,2,6,BombadecalorGas,E,1.200.000EUR
Alto y luminoso piso en Eixample Dret ,Eixample  Eixample Dreta ,Muybien,Excelente,1936,173m²,3,3,Bombadecalor,F,1.175.000EUR
Magnífico tríplex en Turó Parc ,Sant Gervasi  Tres Torres ,Excelente,Excelente,1967,497m²,6,6,Gas,E,(aconsultar)
Exclusiva Propiedad reformada en Rambla de Catalunya ,Eixample  Eixample Dreta ,Excelente,Excelente,1930,360m²,5,3,nocentralizada,D,3.990.000EUR
Excelente piso en el exclusivo Turó Parc ,Sant Gervasi  Turo Parc ,Excelente,Excelente,1968,484m²,6,7,,D,4.000.000EUR
Excelente piso para reformar en Tres Torres ,Sant Gervasi  Tres Torres ,Muybien,Necesitarestauración,1980,260m²,4,5,Gas,E,1.750.000EUR
Bonito y acogedor piso en el centro de Suria ,Bagés- Manresa  Súria ,Muybien,Excelente,2005,121m²,2,3,Gas,D,195.000EUR
